time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
83,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,66.1912,0.004899,cloud_0,access_1-edge_4
83,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,67.40041,0.005306,cloud_0,edge_1-cloud_0
84,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.75712,0.010478,cloud_0,access_0-edge_2
84,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,62.27666,0.014885,cloud_0,edge_4-cloud_0
84,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,61.71696,0.011929,cloud_0,edge_1-cloud_0
85,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,66.24615,0.00419,cloud_0,edge_2-cloud_0
85,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,64.07231,0.009837,cloud_0,edge_4-cloud_0
85,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,67.12406,0.009558,cloud_0,edge_1-cloud_0
86,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.09071,0.005417,cloud_0,access_0-edge_2
86,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.69256,0.011043,cloud_0,access_1-edge_4
86,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,61.47689,0.00865,cloud_0,access_0-edge_1
87,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,62.09201,0.003497,cloud_0,edge_2-cloud_0
87,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,68.50751,0.010513,cloud_0,edge_4-cloud_0
87,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,63.84202,0.01098,cloud_0,edge_1-cloud_0
88,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,62.81756,0.006205,cloud_0,edge_2-cloud_0
88,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.12387,0.011131,cloud_0,access_1-edge_4
88,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,61.65334,0.007704,cloud_0,edge_1-cloud_0
89,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.73599,0.011905,cloud_0,access_0-edge_2
